Nr.;Steh/Sitz;Art;Position;Fenster;Steckdose;Sitzgelegenheit;Ort;Koordinaten Y;Koordinaten X
1;Sitzplatz;2er Tisch;Rand;nein;ja;ja;Mauer;110;110
2;Sitzplatz;2er Tisch;Rand;nein;ja;ja;Mauer;110;144
3;Sitzplatz;6er Tisch;Rand;nein;ja;ja;Gruppe;190;130
4;Sitzplatz;6er Tisch;Rand;nein;ja;ja;Gruppe;190;150
5;Sitzplatz;6er Tisch;Mitte;nein;ja;ja;Gruppe;220;130
6;Sitzplatz;6er Tisch;Mitte;nein;ja;ja;Gruppe;220;150
7;Sitzplatz;6er Tisch;Rand;nein;ja;ja;Gruppe;250;130
8;Sitzplatz;6er Tisch;Rand;nein;ja;ja;Gruppe;250;150
9;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;315;28
10;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;365;28
11;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;415;28
12;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;460;28
13;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;510;28
14;Sitzplatz;1er Tisch;einzeln;nein;ja;ja;Glasscheibe;560;28
15;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;615;155
16;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;615;185
17;Sitzplatz;8er Tisch;Mite;nein;ja;ja;Gruppe;615;220
18;Sitzplatz;8er Tisch;Mitte;nein;ja;ja;Gruppe;615;250
19;Sitzplatz;8er Tisch;Mitte;nein;ja;ja;Gruppe;635;155
20;Sitzplatz;8er Tisch;Mitte;nein;ja;ja;Gruppe;635;188
21;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;635;220
22;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;635;250
23;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;730;155
24;Sitzplatz;8er Tisch;Rand;nein;ja;ja;Gruppe;730;190
